Drug2,Amikacin,Amoxicillin,Amphotericin B,Ampicillin,Azithromycin,Cefazolin,Cefdinir,Cefepime,Cefixime,Cefoperazone,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Cephalexin,Cilastatin,Ciprofloxacin,Clarithromycin,Clavulanate,Clindamycin,Cloxacillin,Colistin,Daptomycin,Dexamethasone,Doripenem,Doxycycline,Ertapenem,Fluconazole,Gatifloxacin,Gentamicin,Imipenem,Levofloxacin,Linezolid,Meropenem,Metronidazole,Minocycline,Moxifloxacin,Nitrofurantoin,Ofloxacin,Oseltamivir,Penicillin G,Piperacillin,Rifampicin,Sulbactam,Sulfamethoxazole,Tazobactam,Teicoplanin,Ticarcillin,Tigecycline,Tobramycin,Trimethoprim,Vancomycin
Doripenem,0.147011,0.255605,0.148325,0.261468,0.151179,0.217565,0.236443,0.205273,0.217565,0.164902,0.217565,0.226611,0.187608,0.190893,0.221996,0.247166,0.255924,0.126761,0.146409,0.25,0.272321,0.229839,0.040547,0.115326,0.176471,1,0.153153,0.616915,0,0.141199,0.077441,0.552795,0.104762,0.057692,0.764706,0,0.240458,0.152416,0.08545,0.104762,0.194379,0.267606,0.201413,0.117861,0.239669,0.154791,0.205674,0.136974,0.255605,0.187801,0.147541,0,0.104928
Doxycycline,0.152695,0.336207,0.194379,0.317495,0.212534,0.137521,0.171004,0.151316,0.15917,0.246246,0.15917,0.164875,0.221498,0.174603,0.22449,0.295117,0.082569,0.101243,0.306902,0.193317,0.290984,0.324111,0.020503,0.083569,0.202186,0.165756,1,0.332083,0.109023,0.116838,0.200686,0.142857,0.118881,0.161905,0.257485,0.021739,0.853786,0.192982,0.139785,0.118881,0.163265,0.324503,0.243697,0.25,0.177829,0.095041,0.180124,0.123311,0.27572,0.687764,0.107544,0.135458,0.175994
Ertapenem,0.196319,0.465116,0.134361,0.479714,0.101591,0.292776,0.319588,0.279279,0.368209,0.286371,0.295238,0.306931,0.366906,0.260504,0.353535,0.497585,0.428571,0.173184,0.147959,0.208531,0.264822,0.437632,0.092354,0.115134,0.163194,0.616915,0.362764,1,0.109057,0.202186,0.069277,0.515957,0.14841,0.208577,0.715818,0.078652,0.33829,0.311787,0.179039,0.14841,0.215933,0.45933,0.412429,0.304348,0.176471,0.102041,0.200828,0.169284,0.441648,0.317073,0.129032,0.102662,0.139735
Fluconazole,0,0.220096,0,0.131222,0,0.111111,0.087866,0.076642,0.081081,0.196013,0.081081,0.084337,0.09029,0.060606,0.124744,0.131222,0,0.262376,0,0,0,0.178947,0,0.04797,0,0,0.109023,0.109057,1,0.186813,0,0,0.210046,0.162791,0,0.192053,0.086957,0.212766,0.099476,0.210046,0,0.134259,0.101399,0.090226,0,0.129032,0.19171,0.06087,0.0625,0.084906,0,0.239892,0.055118
Gatifloxacin,0.024182,0.108949,0.061269,0.191489,0.183099,0.143911,0.155378,0.219512,0.143911,0.232227,0.148148,0.153846,0.125402,0.177474,0.191406,0.191489,0.136842,0.887417,0.103811,0.209677,0.06422,0.20155,0,0.067821,0.070175,0.141199,0.116838,0.202186,0.210762,1,0.055195,0.161731,0.820988,0.365854,0.143984,0.122995,0.141869,0.847507,0.170732,0.820988,0.033797,0.195652,0.243243,0.214099,0.204188,0.078652,0.181818,0.153153,0.122047,0.136364,0.07563,0.253012,0.147541
Gentamicin,0.607516,0.099291,0.143498,0.101083,0.332335,0.068581,0.073254,0.127214,0.068581,0.093544,0.068581,0.07084,0.06082,0.061693,0.069692,0.075838,0.084559,0.045531,0.318519,0.096491,0.22093,0.091205,0.012015,0.041525,0.217712,0.144902,0.219512,0.141479,0,0.076159,1,0.122244,0.109185,0.117216,0.162362,0,0.187291,0.089744,0,0.109185,0.151515,0.102941,0.185897,0.048128,0.177829,0,0.156187,0.091954,0.099291,0.162791,0.782946,0,0.146245
Imipenem,0.206897,0.311475,0.129653,0.320225,0.088534,0.292683,0.289474,0.244444,0.261905,0.210526,0.261905,0.275,0.22,0.25,0.268293,0.305556,0.285714,0.173594,0.080692,0.323529,0.17506,0.274038,0.061077,0.067588,0.165919,0.552795,0.142857,0.515957,0,0.115974,0.122244,1,0.165501,0.192893,0.655405,0.118644,0.168033,0.158798,0.104816,0.165501,0.174863,0.32948,0.234568,0.115538,0.345455,0,0.283582,0.084777,0.311475,0.178571,0.124744,0,0.076417
Levofloxacin,0.105919,0.111111,0.042345,0.195652,0.07513,0.146617,0.158537,0.24031,0.146617,0.260229,0.146617,0.152344,0.127451,0.114754,0.185771,0.195652,0.191011,0.848185,0.024691,0.21547,0.316397,0.168582,0,0.068314,0.052632,0.086142,0.118881,0.14841,0.215596,0.820988,0.09215,0.165501,1,0.375,0.087786,0.120219,0.181818,0.741573,0.19898,1,0.053719,0.2,0.271028,0.233244,0.153846,0.149144,0.180556,0.10052,0.124498,0.116139,0.044776,0.220096,0.091909
Linezolid,0.075949,0.270983,0.048478,0.27451,0.142857,0.090226,0.156317,0.161905,0.143984,0.256367,0.143984,0.149897,0.130137,0.179673,0.153846,0.256039,0.079914,0.402116,0.06383,0.111111,0.141649,0.266376,0.053688,0.085973,0.087786,0.057692,0.161905,0.22288,0.162791,0.365854,0.085409,0.192893,0.375,1,0.132075,0.194969,0.218075,0.266094,0.195652,0.375,0.140143,0.281407,0.315789,0.163399,0.111111,0.182796,0.121495,0.098317,0.188341,0.171617,0.075269,0.140143,0.109299
Meropenem,0.238938,0.462766,0.147343,0.47541,0.181556,0.342282,0.432225,0.366594,0.392111,0.219904,0.392111,0.411192,0.330724,0.337325,0.398104,0.455526,0.192661,0.129363,0.19883,0.25731,0.311475,0.357466,0.078332,0.132661,0.189516,0.764706,0.218569,0.715818,0,0.143984,0.078767,0.655405,0.106796,0.113402,1,0,0.267327,0.155303,0.08747,0.106796,0.256281,0.456044,0.268939,0.206897,0.246459,0,0.210654,0.158088,0.375,0.231029,0.148148,0,0.113801
Metronidazole,0.036468,0.026316,0.012821,0.027027,0,0.167109,0.098901,0.082949,0.089109,0.069519,0.089109,0.09375,0.07438,0.101512,0.02381,0.027027,0.028571,0.164179,0,0.071429,0.025641,0.067961,0,0.028481,0.043689,0,0.021739,0.078652,0.192053,0.122995,0,0.118644,0.120219,0.194969,0,1,0.078652,0.113861,0.153846,0.120219,0,0.027778,0.02,0.013514,0,0.136364,0.164384,0,0.026316,0.065421,0.043084,0.16041,0.024349
Minocycline,0.132075,0.317992,0.199069,0.294363,0.16129,0.154499,0.226054,0.199324,0.209964,0.229868,0.209964,0.217712,0.183801,0.205788,0.240741,0.283644,0.088929,0.175373,0.147959,0.167048,0.130742,0.273408,0.020408,0.112717,0.293436,0.240458,0.678487,0.330869,0.086957,0.141869,0.169687,0.168033,0.181818,0.218075,0.191806,0.078652,1,0.175468,0.181619,0.181818,0.178862,0.30064,0.207729,0.245283,0.11349,0.095335,0.121857,0.141397,0.211538,0.796009,0.071975,0.124031,0.131783
Moxifloxacin,0.077586,0.219512,0.051525,0.247357,0.206657,0.197053,0.232323,0.17851,0.214953,0.25387,0.219512,0.22807,0.186992,0.239243,0.267327,0.274298,0.12426,0.704545,0.101266,0.121495,0.153119,0.238095,0,0.060393,0.130742,0.152416,0.17851,0.309298,0.197479,0.847507,0.089744,0.158798,0.741573,0.337868,0.155303,0.113861,0.229947,1,0.133333,0.741573,0.111111,0.2527,0.25,0.176471,0.118721,0.073684,0.165254,0.110169,0.195219,0.205564,0.073718,0.235955,0.151369
Nitrofurantoin,0,0.260504,0,0.232493,0.037464,0.101322,0.204188,0.172566,0.184834,0.170213,0.184834,0.19403,0.155378,0.158537,0.303191,0.232493,0,0.184211,0.014085,0.157895,0.059908,0.201923,0,0.027967,0.020833,0.08545,0.139785,0.179039,0.099476,0.170732,0,0.104816,0.205128,0.195652,0.08747,0.153846,0.181619,0.133333,1,0.205128,0,0.239193,0.197479,0.132867,0.122112,0.118012,0.133144,0.090226,0.171875,0.151737,0,0.086957,0.072925
Ofloxacin,0.105919,0.111111,0.042345,0.195652,0.07513,0.146617,0.158537,0.24031,0.146617,0.260229,0.146617,0.152344,0.127451,0.114754,0.185771,0.195652,0.191011,0.848185,0.024691,0.21547,0.316397,0.168582,0,0.068314,0.052632,0.086142,0.118881,0.14841,0.215596,0.820988,0.09215,0.165501,1,0.375,0.087786,0.120219,0.181818,0.741573,0.19898,1,0.055901,0.2,0.271028,0.233244,0.153846,0.149144,0.180556,0.10052,0.124498,0.116139,0.044776,0.220096,0.091909
Oseltamivir,0.196262,0.17506,0.199461,0.179361,0.155015,0.227273,0.246883,0.210191,0.22449,0.186441,0.288783,0.25908,0.190019,0.193738,0.295844,0.263158,0.155779,0.058315,0.155015,0.12462,0.340483,0.153846,0.054788,0.098039,0.157205,0.138393,0.160896,0.215933,0,0.033797,0.151515,0.174863,0.053719,0.129412,0.256281,0,0.176471,0.111111,0,0.055901,1,0.183879,0.157495,0.214286,0.12426,0,0.105528,0.089918,0.17506,0.155172,0.154639,0,0.090909
Penicillin G,0.122278,0.843972,0.088757,0.954023,0.076294,0.403941,0.518625,0.435407,0.465296,0.437008,0.469072,0.494565,0.484018,0.39738,0.564246,0.847826,0.212871,0.212121,0.079235,0.355932,0.162281,0.711712,0.07621,0.134921,0.174004,0.267606,0.324503,0.495098,0.134259,0.195652,0.102941,0.32948,0.2,0.281407,0.456044,0.027778,0.25,0.2527,0.239193,0.2,0.183879,1,0.636829,0.145833,0.512915,0.15903,0.459627,0.169202,0.727575,0.263538,0.047957,0.189873,0.140203
Piperacillin,0.100543,0.641791,0.076142,0.662404,0.066514,0.357553,0.392931,0.462451,0.362764,0.750503,0.365385,0.38,0.385965,0.322034,0.428571,0.600985,0.158088,0.259542,0.068966,0.241379,0.179577,0.469979,0.077815,0.146822,0.182432,0.201413,0.245791,0.346499,0.101399,0.266055,0.169036,0.234568,0.247706,0.315789,0.268939,0.02,0.269036,0.208054,0.177686,0.247706,0.157495,0.636829,1,0.194379,0.3382,0.11546,0.320346,0.234234,0.5,0.280488,0.038407,0.13806,0.194868
Rifampicin,0.124197,0.147959,0.273262,0.143959,0.084337,0.072235,0.085919,0.139535,0.082005,0.185897,0.193467,0.153846,0.075157,0.099138,0.209781,0.129442,0.088861,0.237964,0.091418,0.071429,0.1375,0.162791,0.077191,0.166989,0.149144,0.069767,0.193666,0.219212,0.091593,0.226913,0.048128,0.099476,0.233244,0.163399,0.150442,0.013514,0.264368,0.175031,0.132867,0.233244,0.185495,0.145833,0.194379,1,0.047745,0.037132,0.044226,0.090786,0.097561,0.19337,0,0.095361,0.124837
Sulbactam,0.043165,0.477663,0.097884,0.494662,0.098901,0.344538,0.383648,0.317829,0.340782,0.237911,0.344538,0.364985,0.281465,0.288056,0.354467,0.418919,0.142857,0.168478,0.104101,0.519608,0.091811,0.407625,0,0.035549,0.138015,0.239669,0.177829,0.176471,0,0.179487,0.177829,0.345455,0.159794,0.186441,0.246459,0,0.11349,0.166667,0.122112,0.159794,0.12426,0.512915,0.3382,0.047745,1,0,0.719457,0.078524,0.477663,0.097122,0.05042,0,0.06599
Sulfamethoxazole,0,0.153846,0,0.154856,0,0.041667,0.069767,0.06,0.06383,0.134021,0.06383,0.066667,0.135029,0.055556,0.084071,0.154856,0,0.142132,0,0,0,0.246883,0,0.064996,0,0.154791,0.095041,0.102041,0.129032,0.09589,0,0,0.17207,0.182796,0,0.136364,0.120332,0.089744,0.118012,0.17207,0,0.15903,0.11546,0.061599,0,1,0.025641,0.090226,0.071429,0.064189,0,0.273885,0.081995
Tazobactam,0.038961,0.432749,0.068427,0.445783,0.088825,0.398964,0.322751,0.350711,0.291866,0.282051,0.298077,0.313131,0.327623,0.255144,0.338384,0.383285,0.119221,0.221945,0.091954,0.401515,0.079914,0.377551,0,0.041667,0.120507,0.205674,0.180124,0.178862,0.216931,0.206497,0.156187,0.283582,0.180556,0.165049,0.210654,0.164384,0.121857,0.193059,0.133144,0.180556,0.105528,0.459627,0.320346,0.044226,0.719457,0.025641,1,0.084011,0.432749,0.087662,0.044776,0.045131,0.071429
Teicoplanin,0.033973,0.220703,0.136364,0.177588,0.116006,0.133391,0.147541,0.130952,0.142355,0.227923,0.13438,0.136767,0.152882,0.161017,0.165312,0.187739,0.086376,0.1121,0.074205,0.079274,0.0947,0.221805,0,0.073025,0.091371,0.136974,0.131915,0.151203,0.06087,0.153153,0.092851,0.084777,0.11014,0.098317,0.158088,0,0.138488,0.167558,0.090226,0.11014,0.089918,0.169202,0.212389,0.09673,0.078524,0.090226,0.084011,0.864891,0.163873,0.12865,0.076672,0.116279,0.460674
Ticarcillin,0.105769,0.6875,0.096849,0.709677,0.074271,0.381733,0.571429,0.479714,0.594595,0.348921,0.51671,0.544715,0.495536,0.437908,0.494845,0.630769,0.321244,0.218962,0.077128,0.333333,0.155462,0.607629,0.052369,0.066176,0.183673,0.255605,0.27572,0.441648,0.0625,0.122047,0.099291,0.311475,0.124498,0.188341,0.395939,0.026316,0.242604,0.263158,0.171875,0.124498,0.17506,0.727575,0.5,0.097561,0.477663,0.071429,0.432749,0.155268,1,0.190083,0.046312,0.103604,0.136929
Tigecycline,0.10828,0.202003,0.158221,0.224138,0.144509,0.164902,0.206612,0.185185,0.193798,0.246649,0.193798,0.2,0.192146,0.205165,0.217949,0.279279,0.197917,0.260946,0.175772,0.13852,0.220736,0.206897,0.065116,0.131944,0.268781,0.227197,0.55642,0.246154,0.084906,0.136364,0.162791,0.178571,0.117825,0.171617,0.224832,0.065421,0.796009,0.220657,0.151737,0.117825,0.141397,0.211073,0.246291,0.192053,0.097122,0.064189,0.087662,0.131329,0.148325,1,0.061828,0.137521,0.163664
Tobramycin,0.759259,0.046312,0.267252,0.04712,0.323308,0.042654,0.045531,0.040724,0.042654,0.034048,0.042654,0.044046,0.037868,0.038407,0.043339,0.04712,0.080074,0.028668,0.337386,0.234257,0.297071,0.042654,0.016791,0.062194,0.272016,0.129032,0.107544,0.176471,0,0.072027,0.782946,0.124744,0.044776,0.061947,0.203883,0.043084,0.071975,0.058452,0,0.044776,0.154639,0.047957,0.038407,0,0.05042,0,0.044776,0.083744,0.046312,0.076294,1,0,0.199001
Trimethoprim,0,0.108597,0,0.182266,0.085714,0.08,0.101322,0.108949,0.093117,0.104101,0.115702,0.232227,0.080139,0.125461,0.134904,0.182266,0,0.25964,0.153263,0,0,0.176471,0,0.06626,0,0,0.135458,0.102662,0.233244,0.253012,0,0,0.220096,0.140143,0,0.16041,0.126214,0.29108,0.086957,0.220096,0,0.189873,0.13806,0.159618,0,0.269841,0.045131,0.116279,0.103604,0.112957,0,1,0.120543
Vancomycin,0.252059,0.175966,0.153846,0.148649,0.213916,0.113725,0.125612,0.111963,0.121643,0.209801,0.1146,0.116427,0.132075,0.097202,0.1417,0.151566,0.111111,0.093376,0.208548,0.082251,0.150959,0.187291,0.067926,0.178904,0.108491,0.113782,0.166533,0.163347,0.055118,0.140065,0.146245,0.076417,0.091909,0.115669,0.114701,0.024349,0.131783,0.151369,0.081081,0.091909,0.090909,0.140203,0.19391,0.127036,0.06599,0.081081,0.071429,0.458626,0.136929,0.156716,0.190083,0.112985,1
