Drug1,Drug2,Simcomp_Score,,,
C08110,C01675,0.181818,,,
C08110,C15643,0.18,,,
C08110,C06973,0.171004,,,
C08110,C05349,0.165254,,,
C08110,C07321,0.158537,,,
C08110,C07660,0.158537,,,
C08110,C08146,0.156317,,,
C08110,C07661,0.155378,,,
C08110,C15820,0.147541,,,
C08110,C12013,0.125675,,,
C08110,C06689,0.125612,,,
C08110,C06820,0.11465,,,
C08110,C01965,0.101322,,,
C08110,C07203,0.098901,,,
C08110,C06838,0.093333,,,
C08110,D00322,0.087866,,,
C08110,C06688,0.085919,,,
C08110,C01918,0.073254,,,
C08110,C07315,0.069767,,,
C08110,C13768,0.05947,,,
C08110,C00397,0.045531,,,
C08110,C06573,0.041667,,,
C08110,C06912,0.037975,,,
C08111,C08111,1,,,
C08111,C08114,0.756757,,,
C08111,C06889,0.740139,,,
C08111,C08110,0.735537,,,
C08111,C06885,0.717949,,,
C08111,C06881,0.704835,,,
C08111,C06683,0.608696,,,
C08111,C06894,0.534884,,,
C08111,C06895,0.506173,,,
C08111,C06880,0.498881,,,
C08111,C06883,0.498195,,,
C08111,C07139,0.479714,,,
C08111,C14034,0.462451,,,
C08111,C06574,0.452381,,,
C08111,C06827,0.44186,,,
C08111,C05551,0.435407,,,
C08111,C06923,0.372951,,,
C08111,D02222,0.366594,,,
C08111,C07771,0.350711,,,
C08111,C07770,0.317829,,,
C08111,D07908,0.279279,,,
C08111,C06662,0.265823,,,
C08111,C06665,0.244444,,,
C08111,C07321,0.24031,,,
C08111,C07660,0.24031,,,
C08111,C07661,0.219512,,,
C08111,C05349,0.210938,,,
C08111,C08092,0.210191,,,
C08111,D03895,0.205273,,,
C08111,C07225,0.199324,,,
C08111,C12012,0.185185,,,
C08111,C07663,0.17851,,,
C08111,C07268,0.172566,,,
C08111,C08146,0.161905,,,
C08111,C01675,0.156863,,,
C08111,C06914,0.151737,,,
C08111,C06973,0.151316,,,
C08111,C15643,0.141869,,,
C08111,C06688,0.139535,,,
C08111,C15820,0.130952,,,
C08111,C01918,0.127214,,,
C08111,C12013,0.120059,,,
C08111,C06689,0.111963,,,
C08111,C01965,0.108949,,,
C08111,C06820,0.103152,,,
C08111,C06838,0.100124,,,
C08111,C07203,0.082949,,,
C08111,D00322,0.076642,,,
C08111,C07315,0.06,,,
C08111,C13768,0.05746,,,
C08111,C06912,0.047059,,,
C08111,C00397,0.040724,,,
C08111,C06573,0.038697,,,
C08114,C08114,1,,,
C08114,C06885,0.91358,,,
C08114,C08110,0.853035,,,
C08114,C06881,0.80758,,,
C08114,C08111,0.756757,,,
C08114,C06683,0.682927,,,
C08114,C06894,0.675824,,,
C08114,C06889,0.662708,,,
C08114,C06895,0.577465,,,
C08114,C06880,0.561713,,,
C08114,C07139,0.544715,,,
C08114,C06574,0.513514,,,
C08114,C06827,0.5,,,
C08114,C05551,0.494565,,,
C08114,C06883,0.42596,,,
C08114,C06923,0.415525,,,
C08114,D02222,0.411192,,,
C08114,C14034,0.38,,,
C08114,C07770,0.364985,,,
C08114,C07771,0.313131,,,
C08114,D07908,0.306931,,,
C08114,C06662,0.304348,,,
C08114,C06665,0.275,,,
C08114,C08092,0.25908,,,
C08114,C01965,0.232227,,,
C08114,C07663,0.22807,,,
C08114,D03895,0.226611,,,
C08114,C07225,0.217712,,,
C08114,C12012,0.2,,,
C08114,C07268,0.19403,,,
C08114,C01675,0.173913,,,
C08114,C06914,0.167002,,,
C08114,C06973,0.164875,,,
C08114,C05349,0.158537,,,
C08114,C15643,0.155303,,,
C08114,C06688,0.153846,,,
C08114,C07661,0.153846,,,
C08114,C07321,0.152344,,,
C08114,C07660,0.152344,,,
C08114,C08146,0.149897,,,
C08114,C15820,0.136767,,,
C08114,C06912,0.121495,,,
C08114,C06689,0.116427,,,
C08114,C12013,0.116139,,,
C08114,C06820,0.111111,,,
C08114,C06838,0.106719,,,
C08114,C07203,0.09375,,,
C08114,D00322,0.084337,,,
C08114,C01918,0.07084,,,
C08114,C07315,0.066667,,,
C08114,C13768,0.058882,,,
C08114,C00397,0.044046,,,
C08114,C06573,0.040773,,,
C08146,C08146,1,,,
C08146,C05349,0.402116,,,
C08146,C07321,0.375,,,
C08146,C07660,0.375,,,
C08146,C07661,0.365854,,,
C08146,C07663,0.337868,,,
C08146,C14034,0.315789,,,
C08146,C05551,0.281407,,,
C08146,C06574,0.27451,,,
C08146,C06923,0.266376,,,
C08146,C06883,0.256367,,,
C08146,C06895,0.256039,,,
C08146,C06662,0.220238,,,
C08146,C07225,0.218075,,,
C08146,C06827,0.212815,,,
C08146,D07908,0.208577,,,
C08146,C07268,0.195652,,,
C08146,C07203,0.194969,,,
C08146,C06665,0.192893,,,
C08146,C07139,0.188341,,,
C08146,C07770,0.186441,,,
C08146,C07315,0.182796,,,
C08146,C06683,0.179673,,,
C08146,C12012,0.171617,,,
C08146,C07771,0.165049,,,
C08146,C06688,0.163399,,,
C08146,D00322,0.162791,,,
C08146,C06973,0.161905,,,
C08146,C08111,0.161905,,,
C08146,C06914,0.158798,,,
C08146,C08110,0.156317,,,
C08146,C06894,0.153846,,,
C08146,C08114,0.149897,,,
C08146,C06881,0.143984,,,
C08146,C06885,0.143984,,,
C08146,C06838,0.142857,,,
C08146,C06889,0.141869,,,
C08146,C01965,0.140143,,,
C08146,C08092,0.129412,,,
C08146,C01918,0.117216,,,
C08146,C06689,0.115669,,,
C08146,D02222,0.113402,,,
C08146,C15643,0.106796,,,
C08146,C15820,0.098317,,,
C08146,C06880,0.090226,,,
C08146,C01675,0.079914,,,
C08146,C12013,0.077844,,,
C08146,C06820,0.075949,,,
C08146,C06912,0.06383,,,
C08146,C00397,0.061947,,,
C08146,D03895,0.057692,,,
C08146,C13768,0.040634,,,
C08146,C06573,0.028761,,,
C12012,C12012,1,,,
C12012,C07225,0.796009,,,
C12012,C06973,0.687764,,,
C12012,D07908,0.317073,,,
C12012,C14034,0.280488,,,
C12012,C06895,0.279279,,,
C12012,C06574,0.276978,,,
C12012,C05551,0.263538,,,
C12012,C06827,0.252174,,,
C12012,C15643,0.25,,,
C12012,D02222,0.231029,,,
C12012,C06883,0.228534,,,
C12012,C06894,0.217949,,,
C12012,C01675,0.210526,,,
C12012,C08110,0.206612,,,
C12012,C07663,0.205564,,,
C12012,C08114,0.2,,,
C12012,C06912,0.198547,,,
C12012,C06881,0.193798,,,
C12012,C06885,0.193798,,,
C12012,C06688,0.19337,,,
C12012,C06683,0.191489,,,
C12012,C07139,0.190083,,,
C12012,C06889,0.188811,,,
C12012,D03895,0.187801,,,
C12012,C08111,0.185185,,,
C12012,C05349,0.180328,,,
C12012,C06573,0.18019,,,
C12012,C06665,0.178571,,,
C12012,C08146,0.171617,,,
C12012,C06880,0.164902,,,
C12012,C06923,0.163142,,,
C12012,C01918,0.162791,,,
C12012,C06689,0.156716,,,
C12012,C08092,0.155172,,,
C12012,C07268,0.151737,,,
C12012,C06914,0.147799,,,
C12012,C06838,0.144509,,,
C12012,C06662,0.13852,,,
C12012,C12013,0.138268,,,
C12012,C07661,0.136364,,,
C12012,C15820,0.12865,,,
C12012,C07321,0.116139,,,
C12012,C07660,0.116139,,,
C12012,C01965,0.112957,,,
C12012,C06820,0.10828,,,
C12012,C07770,0.097122,,,
C12012,C07771,0.087662,,,
C12012,D00322,0.084906,,,
C12012,C00397,0.076294,,,
C12012,C07203,0.065421,,,
C12012,C07315,0.064189,,,
C12012,C13768,0.048535,,,
C12013,C12013,0.966667,,,
C12013,C13768,0.287846,,,
C12013,C06689,0.178904,,,
C12013,C06688,0.166989,,,
C12013,C06889,0.16262,,,
C12013,C14034,0.146822,,,
C12013,C06574,0.135647,,,
C12013,C05551,0.134921,,,
C12013,C06573,0.134273,,,
C12013,D02222,0.132661,,,
C12013,C12012,0.131944,,,
C12013,C06883,0.13002,,,
C12013,C06881,0.125281,,,
C12013,C06895,0.125,,,
C12013,C06894,0.12368,,,
C12013,C06923,0.123596,,,
C12013,C06827,0.122291,,,
C12013,C01675,0.119874,,,
C12013,C06885,0.116071,,,
C12013,D03895,0.115326,,,
C12013,D07908,0.115134,,,
C12013,C07225,0.112717,,,
C12013,C08110,0.106061,,,
C12013,C08114,0.104478,,,
C12013,C06683,0.100982,,,
C12013,C08111,0.100719,,,
C12013,C08092,0.098039,,,
C12013,C06914,0.09692,,,
C12013,C06820,0.093643,,,
C12013,C06880,0.089325,,,
C12013,C08146,0.085973,,,
C12013,C06973,0.083569,,,
C12013,C15820,0.073025,,,
C12013,C07321,0.068314,,,
C12013,C07660,0.068314,,,
C12013,C07661,0.067821,,,
C12013,C06665,0.067588,,,
C12013,C01965,0.06626,,,
C12013,C07139,0.066176,,,
C12013,C07315,0.064996,,,
C12013,C05349,0.064611,,,
C12013,C00397,0.062194,,,
C12013,C07663,0.060393,,,
C12013,C06912,0.053922,,,
C12013,D00322,0.04797,,,
C12013,C06662,0.043137,,,
C12013,C07771,0.041667,,,
C12013,C01918,0.041525,,,
C12013,C07770,0.035549,,,
C12013,C07203,0.028481,,,
C12013,C07268,0.027967,,,
C12013,C06838,0.021985,,,
C12013,C15643,0.013605,,,
C13768,C13768,0.760766,,,
C13768,C12013,0.320507,,,
C13768,D07908,0.092354,,,
C13768,C06573,0.081897,,,
C13768,D02222,0.078332,,,
C13768,C14034,0.077815,,,
C13768,C06688,0.077191,,,
C13768,C05551,0.07621,,,
C13768,C06883,0.07507,,,
C13768,C06820,0.074144,,,
C13768,C06689,0.067926,,,
C13768,C12012,0.065116,,,
C13768,C06895,0.063291,,,
C13768,C06574,0.062753,,,
C13768,C06827,0.062437,,,
C13768,C06665,0.061077,,,
C13768,C08110,0.061061,,,
C13768,C01675,0.060683,,,
C13768,C08114,0.060456,,,
C13768,C06894,0.060158,,,
C13768,C06914,0.06,,,
C13768,C06881,0.059863,,,
C13768,C06885,0.059863,,,
C13768,C08111,0.058994,,,
C13768,C06683,0.057875,,,
C13768,C06889,0.057602,,,
C13768,C06880,0.056751,,,
C13768,C06923,0.055718,,,
C13768,C08092,0.054788,,,
C13768,C08146,0.053688,,,
C13768,C07139,0.052369,,,
C13768,D03895,0.040547,,,
C13768,C06973,0.020503,,,
C13768,C07225,0.020408,,,
C13768,C00397,0.016791,,,
C13768,C01918,0.012015,,,
C14034,C14034,1,,,
C14034,C06883,0.750503,,,
C14034,C06574,0.662404,,,
C14034,C06827,0.641791,,,
C14034,C05551,0.636829,,,
C14034,C06895,0.600985,,,
C14034,C06923,0.501057,,,
C14034,C07139,0.5,,,
C14034,C08111,0.462451,,,
C14034,C06894,0.428571,,,
C14034,D07908,0.412429,,,
C14034,C08110,0.392931,,,
C14034,C08114,0.38,,,
C14034,C06885,0.365385,,,
C14034,C06881,0.362764,,,
C14034,C06889,0.362069,,,
C14034,C06880,0.357553,,,
C14034,C07770,0.3382,,,
C14034,C06683,0.322034,,,
C14034,C07771,0.320346,,,
C14034,C08146,0.315789,,,
C14034,C06914,0.290944,,,
C14034,C07321,0.271028,,,
C14034,C07660,0.271028,,,
C14034,D02222,0.268939,,,
C14034,C05349,0.259542,,,
C14034,C07663,0.25,,,
C14034,C12012,0.246291,,,
C14034,C06973,0.243697,,,
C14034,C07661,0.243243,,,
C14034,C06662,0.241379,,,
C14034,C06665,0.234568,,,
C14034,C15820,0.212389,,,
C14034,C07225,0.207729,,,
C14034,D03895,0.201413,,,
C14034,C07268,0.197479,,,
C14034,C15643,0.196581,,,
C14034,C06688,0.194379,,,
C14034,C06689,0.19391,,,
C14034,C01918,0.185897,,,
C14034,C01675,0.158088,,,
C14034,C08092,0.157495,,,
C14034,C12013,0.153564,,,
C14034,C01965,0.13806,,,
C14034,C07315,0.11546,,,
C14034,D00322,0.101399,,,
C14034,C06820,0.100543,,,
C14034,C06573,0.076142,,,
C14034,C06912,0.068966,,,
C14034,C06838,0.066514,,,
C14034,C13768,0.057373,,,
C14034,C00397,0.038407,,,
C14034,C07203,0.02,,,
C15643,C15643,1,,,
C15643,C07225,0.293436,,,
C15643,C00397,0.272016,,,
C15643,C12012,0.268781,,,
C15643,C06838,0.257396,,,
C15643,C06912,0.24269,,,
C15643,C06574,0.228448,,,
C15643,C06827,0.223629,,,
C15643,C06820,0.218698,,,
C15643,C01918,0.217712,,,
C15643,C06573,0.212871,,,
C15643,C06973,0.202186,,,
C15643,C06895,0.189979,,,
C15643,C06914,0.189516,,,
C15643,D02222,0.189516,,,
C15643,C06662,0.18863,,,
C15643,C06923,0.186441,,,
C15643,C07139,0.183673,,,
C15643,C14034,0.182432,,,
C15643,C08110,0.18,,,
C15643,D03895,0.176471,,,
C15643,C05551,0.174004,,,
C15643,C06881,0.166667,,,
C15643,C06665,0.165919,,,
C15643,D07908,0.163194,,,
C15643,C08092,0.157205,,,
C15643,C08114,0.155303,,,
C15643,C06894,0.152416,,,
C15643,C06885,0.149635,,,
C15643,C06688,0.149144,,,
C15643,C08111,0.141869,,,
C15643,C07770,0.138015,,,
C15643,C06683,0.132686,,,
C15643,C07663,0.130742,,,
C15643,C06889,0.130573,,,
C15643,C06883,0.130186,,,
C15643,C06880,0.120996,,,
C15643,C07771,0.120507,,,
C15643,C06689,0.108491,,,
C15643,C01675,0.097804,,,
C15643,C15820,0.091371,,,
C15643,C08146,0.087786,,,
C15643,C07661,0.070175,,,
C15643,C07321,0.052632,,,
C15643,C07660,0.052632,,,
C15643,C05349,0.048825,,,
C15643,C07203,0.043689,,,
C15643,C07268,0.020833,,,
C15643,C12013,0.013605,,,
C15820,C15820,0.864891,,,
C15820,C06689,0.458626,,,
C15820,C14034,0.234234,,,
C15820,C06923,0.221805,,,
C15820,C06827,0.220703,,,
C15820,C06883,0.218698,,,
C15820,C06574,0.177588,,,
C15820,C06895,0.176471,,,
C15820,D07908,0.169284,,,
C15820,C05551,0.169202,,,
C15820,C08110,0.158088,,,
C15820,D02222,0.158088,,,
C15820,C07139,0.155268,,,
C15820,C07661,0.153153,,,
C15820,C08114,0.146953,,,
C15820,C06894,0.146667,,,
C15820,C06885,0.144366,,,
C15820,C07225,0.141397,,,
C15820,C08111,0.140652,,,
C15820,D03895,0.136974,,,
C15820,C06880,0.133391,,,
C15820,C15643,0.131579,,,
C15820,C12012,0.131329,,,
C15820,C06573,0.130137,,,
C15820,C06973,0.123311,,,
C15820,C06881,0.122625,,,
C15820,C06889,0.12104,,,
C15820,C06683,0.119281,,,
C15820,C01675,0.11824,,,
C15820,C01965,0.116279,,,
C15820,C06838,0.116006,,,
C15820,C07663,0.110169,,,
C15820,C05349,0.102293,,,
C15820,C07321,0.10052,,,
C15820,C07660,0.10052,,,
C15820,C08146,0.098317,,,
C15820,C06914,0.0947,,,
C15820,C01918,0.091954,,,
C15820,C06688,0.090786,,,
C15820,C07268,0.090226,,,
C15820,C07315,0.090226,,,
C15820,C08092,0.089918,,,
C15820,C06662,0.088632,,,
C15820,C06665,0.084777,,,
C15820,C07771,0.084011,,,
C15820,C00397,0.083744,,,
C15820,C12013,0.082164,,,
C15820,C07770,0.078524,,,
C15820,C06912,0.074965,,,
C15820,D00322,0.06087,,,
C15820,C06820,0.033973,,,
D00322,D00322,1,,,
D00322,C05349,0.262376,,,
D00322,C01965,0.233244,,,
D00322,C06827,0.220096,,,
D00322,C07771,0.216931,,,
D00322,C07321,0.215596,,,
D00322,C07660,0.215596,,,
D00322,C07661,0.210762,,,
D00322,C07663,0.197479,,,
D00322,C07203,0.192053,,,
D00322,C06923,0.178947,,,
D00322,C08146,0.162791,,,
D00322,C05551,0.134259,,,
D00322,C06574,0.131222,,,
D00322,C06895,0.131222,,,
D00322,C07315,0.129032,,,
D00322,C06883,0.128527,,,
D00322,C06894,0.124744,,,
D00322,C06880,0.111111,,,
D00322,D07908,0.109057,,,
D00322,C06973,0.109023,,,
D00322,C14034,0.101399,,,
D00322,C07268,0.099476,,,
D00322,C06688,0.091593,,,
D00322,C06889,0.09029,,,
D00322,C08110,0.087866,,,
D00322,C07225,0.086957,,,
D00322,C12012,0.084906,,,
D00322,C08114,0.084337,,,
D00322,C06881,0.081081,,,
D00322,C06885,0.081081,,,
D00322,C08111,0.076642,,,
D00322,C07139,0.0625,,,
D00322,C15820,0.06087,,,
D00322,C06683,0.060606,,,
D00322,C06689,0.055118,,,
D00322,C12013,0.04797,,,
D02222,D02222,1,,,
D02222,D03895,0.764706,,,
D02222,D07908,0.715818,,,
D02222,C06665,0.655405,,,
D02222,C06574,0.47541,,,
D02222,C06827,0.462766,,,
D02222,C05551,0.456044,,,
D02222,C06895,0.455526,,,
D02222,C08110,0.432225,,,
D02222,C08114,0.411192,,,
D02222,C06894,0.398104,,,
D02222,C07139,0.395939,,,
D02222,C06881,0.392111,,,
D02222,C06885,0.392111,,,
D02222,C08111,0.366594,,,
D02222,C06923,0.357466,,,
D02222,C06880,0.342282,,,
D02222,C06683,0.337325,,,
D02222,C01675,0.333333,,,
D02222,C06889,0.330724,,,
D02222,C06914,0.311475,,,
D02222,C14034,0.268939,,,
D02222,C06973,0.257485,,,
D02222,C06662,0.25731,,,
D02222,C08092,0.256281,,,
D02222,C07770,0.246459,,,
D02222,C06820,0.225919,,,
D02222,C12012,0.224832,,,
D02222,C06883,0.219904,,,
D02222,C07771,0.210654,,,
D02222,C15643,0.209016,,,
D02222,C00397,0.203883,,,
D02222,C07225,0.191806,,,
D02222,C06838,0.181556,,,
D02222,C06912,0.169757,,,
D02222,C01918,0.162362,,,
D02222,C15820,0.158088,,,
D02222,C07663,0.155303,,,
D02222,C06688,0.150442,,,
D02222,C07661,0.143984,,,
D02222,C12013,0.140625,,,
D02222,C06573,0.140456,,,
D02222,C08146,0.132075,,,
D02222,C05349,0.129363,,,
D02222,C06689,0.114701,,,
D02222,C07321,0.087786,,,
D02222,C07660,0.087786,,,
D02222,C07268,0.08747,,,
D02222,C13768,0.073961,,,
D03895,D03895,1,,,
D03895,D02222,0.764706,,,
D03895,D07908,0.616915,,,
D03895,C06665,0.552795,,,
D03895,C01675,0.315136,,,
D03895,C06914,0.272321,,,
D03895,C05551,0.267606,,,
D03895,C06574,0.261468,,,
D03895,C06827,0.255605,,,
D03895,C07139,0.255605,,,
D03895,C06662,0.25,,,
D03895,C06895,0.247166,,,
D03895,C07225,0.240458,,,
D03895,C07770,0.239669,,,
D03895,C08110,0.236443,,,
D03895,C06923,0.229839,,,
D03895,C12012,0.227197,,,
D03895,C08114,0.226611,,,
D03895,C06894,0.221996,,,
D03895,C06880,0.217565,,,
D03895,C06881,0.217565,,,
D03895,C06885,0.217565,,,
D03895,C07771,0.205674,,,
D03895,C08111,0.205273,,,
D03895,C14034,0.201413,,,
D03895,C06820,0.193277,,,
D03895,C06683,0.190893,,,
D03895,C06889,0.187608,,,
D03895,C15643,0.176471,,,
D03895,C06973,0.165756,,,
D03895,C06883,0.164902,,,
D03895,C06912,0.160839,,,
D03895,C07315,0.154791,,,
D03895,C07663,0.152416,,,
D03895,C01918,0.144902,,,
D03895,C06573,0.141498,,,
D03895,C07661,0.141199,,,
D03895,C08092,0.138393,,,
D03895,C15820,0.136974,,,
D03895,C00397,0.129032,,,
D03895,C05349,0.126761,,,
D03895,C06838,0.126187,,,
D03895,C06689,0.113782,,,
D03895,C07321,0.086142,,,
D03895,C07660,0.086142,,,
D03895,C12013,0.085672,,,
D03895,C07268,0.08545,,,
D03895,C06688,0.069767,,,
D03895,C08146,0.057692,,,
D03895,C13768,0.053934,,,
D07908,D07908,1,,,
D07908,D02222,0.715818,,,
D07908,D03895,0.616915,,,
D07908,C06665,0.515957,,,
D07908,C06574,0.515892,,,
D07908,C06827,0.5,,,
D07908,C06895,0.497585,,,
D07908,C05551,0.495098,,,
D07908,C06923,0.468683,,,
D07908,C07139,0.441648,,,
D07908,C01675,0.428571,,,
D07908,C06881,0.368209,,,
D07908,C06889,0.366906,,,
D07908,C06894,0.353535,,,
D07908,C14034,0.346499,,,
D07908,C06883,0.339713,,,
D07908,C06973,0.332083,,,
D07908,C07225,0.330869,,,
D07908,C08110,0.319588,,,
D07908,C07663,0.309298,,,
D07908,C08114,0.306931,,,
D07908,C06885,0.295238,,,
D07908,C06880,0.292776,,,
D07908,C08111,0.279279,,,
D07908,C06914,0.264822,,,
D07908,C06683,0.260504,,,
D07908,C12012,0.246154,,,
D07908,C08146,0.22288,,,
D07908,C06688,0.219212,,,
D07908,C08092,0.215933,,,
D07908,C06662,0.208531,,,
D07908,C07661,0.202186,,,
D07908,C06820,0.196319,,,
D07908,C15643,0.179577,,,
D07908,C07268,0.179039,,,
D07908,C07771,0.178862,,,
D07908,C00397,0.176471,,,
D07908,C07770,0.176471,,,
D07908,C05349,0.173184,,,
D07908,C06689,0.163347,,,
D07908,C15820,0.151203,,,
D07908,C07321,0.14841,,,
D07908,C07660,0.14841,,,
D07908,C01918,0.141479,,,
D07908,C12013,0.138211,,,
D07908,C06912,0.136364,,,
D07908,C06573,0.128149,,,
D07908,C06838,0.123596,,,
D07908,D00322,0.109057,,,
D07908,C01965,0.102662,,,
D07908,C07315,0.102041,,,
D07908,C07203,0.078652,,,
D07908,C13768,0.075269,,,
,,,,,
